,Brand,count,Percentage,state,year,quarter
75,Lenovo,483,0.020183026200325003,andaman-&-nicobar-islands,2019,3
76,Others,2110,0.088170155864777,andaman-&-nicobar-islands,2019,3
77,Xiaomi,6259,0.24110169491525402,andaman-&-nicobar-islands,2019,4
78,Vivo,5190,0.19992295839753402,andaman-&-nicobar-islands,2019,4
79,Samsung,4900,0.18875192604006102,andaman-&-nicobar-islands,2019,4
80,Oppo,2329,0.089714946070878,andaman-&-nicobar-islands,2019,4
81,Realme,1329,0.051194144838212004,andaman-&-nicobar-islands,2019,4
82,OnePlus,1124,0.043297380585516,andaman-&-nicobar-islands,2019,4
83,Huawei,798,0.030739599383667004,andaman-&-nicobar-islands,2019,4
84,Motorola,682,0.026271186440677004,andaman-&-nicobar-islands,2019,4
85,Apple,678,0.026117103235747,andaman-&-nicobar-islands,2019,4
86,Lenovo,488,0.01879815100154,andaman-&-nicobar-islands,2019,4
87,Others,2183,0.08409090909090901,andaman-&-nicobar-islands,2019,4
88,Xiaomi,6803,0.23981246474901202,andaman-&-nicobar-islands,2020,1
89,Vivo,5880,0.207275803722504,andaman-&-nicobar-islands,2020,1
90,Samsung,5335,0.188064015792442,andaman-&-nicobar-islands,2020,1
91,Oppo,2557,0.090136773829667,andaman-&-nicobar-islands,2020,1
92,Realme,1511,0.053264241398759,andaman-&-nicobar-islands,2020,1
93,OnePlus,1184,0.041737168640721,andaman-&-nicobar-islands,2020,1
94,Huawei,891,0.031408629441624,andaman-&-nicobar-islands,2020,1
95,Apple,735,0.025909475465313,andaman-&-nicobar-islands,2020,1
96,Motorola,715,0.025204455724760003,andaman-&-nicobar-islands,2020,1
97,Lenovo,500,0.017625493513818,andaman-&-nicobar-islands,2020,1
98,Others,2257,0.079561477721376,andaman-&-nicobar-islands,2020,1
99,Xiaomi,7805,0.23861204524610202,andaman-&-nicobar-islands,2020,2
100,Vivo,7122,0.21773158055640401,andaman-&-nicobar-islands,2020,2
101,Samsung,6030,0.18434729440538,andaman-&-nicobar-islands,2020,2
102,Oppo,2976,0.090981351268725,andaman-&-nicobar-islands,2020,2
103,Realme,1761,0.053836747172118005,andaman-&-nicobar-islands,2020,2
104,OnePlus,1271,0.038856618771018,andaman-&-nicobar-islands,2020,2
105,Huawei,1005,0.030724549067563004,andaman-&-nicobar-islands,2020,2
106,Apple,792,0.024212778966676,andaman-&-nicobar-islands,2020,2
107,Motorola,779,0.023815346988688,andaman-&-nicobar-islands,2020,2
108,Lenovo,552,0.016875573219199,andaman-&-nicobar-islands,2020,2
109,Others,2617,0.080006114338122,andaman-&-nicobar-islands,2020,2
110,Xiaomi,9794,0.23694205878795202,andaman-&-nicobar-islands,2020,3
111,Vivo,9556,0.23118422644248202,andaman-&-nicobar-islands,2020,3
112,Samsung,7572,0.18318616184831202,andaman-&-nicobar-islands,2020,3
113,Oppo,3730,0.090238296842869,andaman-&-nicobar-islands,2020,3
114,Realme,2285,0.055280029031087,andaman-&-nicobar-islands,2020,3
115,OnePlus,1440,0.034837304947381,andaman-&-nicobar-islands,2020,3
116,Huawei,1213,0.029345590903592,andaman-&-nicobar-islands,2020,3
117,Motorola,907,0.021942663602274003,andaman-&-nicobar-islands,2020,3
118,Apple,870,0.021047538405709002,andaman-&-nicobar-islands,2020,3
119,Lenovo,606,0.014660699165356,andaman-&-nicobar-islands,2020,3
120,Others,3362,0.081335430022982,andaman-&-nicobar-islands,2020,3
121,Xiaomi,12398,0.23662111611573403,andaman-&-nicobar-islands,2020,4
122,Vivo,12275,0.234273608672417,andaman-&-nicobar-islands,2020,4
123,Samsung,9938,0.18967096724940802,andaman-&-nicobar-islands,2020,4
124,Oppo,4723,0.09014046873807101,andaman-&-nicobar-islands,2020,4
125,Realme,2996,0.057179937399801005,andaman-&-nicobar-islands,2020,4
126,OnePlus,1638,0.03126192839148,andaman-&-nicobar-islands,2020,4
127,Huawei,1472,0.028093747614321003,andaman-&-nicobar-islands,2020,4
128,Motorola,1032,0.019696160012214,andaman-&-nicobar-islands,2020,4
129,Apple,973,0.018570119856477,andaman-&-nicobar-islands,2020,4
130,Lenovo,708,0.013512481868844002,andaman-&-nicobar-islands,2020,4
131,Others,4243,0.08097946408122701,andaman-&-nicobar-islands,2020,4
132,Vivo,13812,0.23913570414488003,andaman-&-nicobar-islands,2021,1
133,Xiaomi,13714,0.237438969493403,andaman-&-nicobar-islands,2021,1
134,Samsung,10861,0.18804321479275501,andaman-&-nicobar-islands,2021,1
135,Oppo,5158,0.08930364624813801,andaman-&-nicobar-islands,2021,1
136,Realme,3419,0.059195262993870006,andaman-&-nicobar-islands,2021,1
137,OnePlus,1773,0.030697046296616,andaman-&-nicobar-islands,2021,1
138,Huawei,1575,0.027268949755877,andaman-&-nicobar-islands,2021,1
139,Motorola,1062,0.018387063263963003,andaman-&-nicobar-islands,2021,1
140,Apple,1056,0.018283181550607,andaman-&-nicobar-islands,2021,1
141,Tecno,796,0.013781640638526,andaman-&-nicobar-islands,2021,1
142,Others,4532,0.078465320821358,andaman-&-nicobar-islands,2021,1
143,Vivo,15056,0.24246718737418402,andaman-&-nicobar-islands,2021,2
144,Xiaomi,14788,0.23815121990498403,andaman-&-nicobar-islands,2021,2
145,Samsung,11476,0.184813592076656,andaman-&-nicobar-islands,2021,2
146,Oppo,5456,0.08786536758193,andaman-&-nicobar-islands,2021,2
147,Realme,4034,0.064964973025203,andaman-&-nicobar-islands,2021,2
148,OnePlus,1981,0.031902729688380004,andaman-&-nicobar-islands,2021,2
